Tanggal Transaksi,Nama Resto,Tipe Pesanan,Nomor Pesanan,Rating untuk Resto,Review,Nama Menu,Tag yang Dipilih
"Oct 31 2025, 19:41","Ayam Guling Enakko, Mengwi",Gofood Delivery,F-3020964937,5,,"Cheese Sauce, Nasi Putih, 1 Ekor Ayam Western, Nasi Kebuli","CANNED_RESPONSE_FRESHNESS, CANNED_RESPONSE_TASTE, CANNED_RESPONSE_PORTION, CANNED_RESPONSE_HYGIENE, CANNED_RESPONSE_PACKAGING, CANNED_RESPONSE_VALUE, CANNED_RESPONSE_CUTLERY"
"Oct 31 2025, 19:15","Ayam Guling Enakko, Dalung",Gofood Delivery,F-3020928856,5,,Paket Berkah 1 Putih,
"Oct 31 2025, 19:10","Ayam Guling Enakko, Raya Kuta",Gofood Delivery,F-3020921738,5,,"1 Ekor Ayam Western, Nasi Kebuli","CANNED_RESPONSE_FRESHNESS, CANNED_RESPONSE_TASTE, CANNED_RESPONSE_PORTION, CANNED_RESPONSE_PACKAGING, CANNED_RESPONSE_HYGIENE, CANNED_RESPONSE_VALUE"
"Oct 31 2025, 18:40","Ayam Guling Enakko Dalung Permai, Jalan Perum Dalung Permai",Gofood Delivery,F-3020877077,5,,"Paket Mabar 2 Kebuli, Squash Orange, Cheese Sauce",
"Oct 31 2025, 18:32","Ayam Guling Enakko, Dalung",Gofood Delivery,F-3020864691,5,,1 Ekor Ayam Western,"CANNED_RESPONSE_PACKAGING, CANNED_RESPONSE_TASTE, CANNED_RESPONSE_PORTION, CANNED_RESPONSE_FRESHNESS, CANNED_RESPONSE_VALUE"
"Oct 31 2025, 17:16","Ayam Guling Enakko, Ahmad Yani",Gofood Delivery,F-3020770851,5,,"Cheese Sauce, 1/2 Ekor Ayam Western, Onion Mayo Sauce",
"Oct 31 2025, 17:08","Ayam Guling Enakko, Denpasar",Gofood Delivery,F-3020762813,5,,Paket Mabar 4 Putih,
"Oct 31 2025, 17:05","Ayam Guling Enakko, Denpasar",Gofood Delivery,F-3020758682,5,,Paket Mabar 4 Mandhi,"CANNED_RESPONSE_PACKAGING, CANNED_RESPONSE_TASTE, CANNED_RESPONSE_FRESHNESS, CANNED_RESPONSE_HYGIENE, CANNED_RESPONSE_PORTION, CANNED_RESPONSE_VALUE"
"Oct 31 2025, 17:03","Ayam Guling Enakko, Dalung",Gofood Delivery,F-3020756586,5,,"Squash Orange, Paket Berkah 1 Putih","CANNED_RESPONSE_FRESHNESS, CANNED_RESPONSE_TASTE, CANNED_RESPONSE_PORTION, CANNED_RESPONSE_HYGIENE, CANNED_RESPONSE_PACKAGING, CANNED_RESPONSE_VALUE, CANNED_RESPONSE_CUTLERY"
"Oct 31 2025, 17:02","Ayam Guling Enakko, Raya Kuta",Gofood Delivery,F-3020755304,5,,1/2 Ekor Ayam Western,
"Oct 31 2025, 15:32","Ayam Guling Enakko, Pulau Kawe",Gofood Delivery,F-3020670683,5,,Paket Berkah 2 Kebuli,
"Oct 31 2025, 15:14","Ayam Guling Enakko, Pemogan",Gofood Delivery,F-3020655111,5,,1 Ekor Ayam Original,
"Oct 31 2025, 13:54","Ayam Guling Enakko, Tangkuban Perahu",Gofood Delivery,F-3020584559,3,,Paket Berkah 2 Kebuli,"CANNED_RESPONSE_ORDER, CANNED_RESPONSE_CUTLERY_INCORRECT"
"Oct 31 2025, 11:55","Ayam Guling Enakko, Denpasar",Gofood Delivery,F-3020445580,5,,"Paket Mabar 1 Kebuli, Paket Berkah 2 Kebuli",
"Oct 31 2025, 10:58","Ayam Guling Enakko, Pulau Kawe",Gofood Delivery,F-3020369569,5,,1 Ekor Ayam Western,
"Oct 31 2025, 09:35","Ayam Guling Enakko Dalung Permai, Jalan Perum Dalung Permai",Gofood Delivery,F-3020286279,5,,"Cheese Sauce, BBQ Sauce, Sambel Korek, Paket Mabar 4 Kebuli, Hot Cheese Sauce",
"Oct 31 2025, 09:21","Ayam Guling Enakko, Dalung",Gofood Delivery,F-3020276084,4,,"Sambel Dower, 1/2 Ekor Ayam Western, Paket Berkah 1 Putih",
"Oct 30 2025, 19:41","Ayam Guling Enakko, Pulau Kawe",Gofood Delivery,F-3020015485,5,,"Sambel Ijo, Paket Berkah 3 Mandhi",
"Oct 30 2025, 19:09","Ayam Guling Enakko, Pulau Kawe",Gofood Delivery,F-3019969706,5,,Paket Berkah 3 Mandhi,
"Oct 30 2025, 18:24","Ayam Guling Enakko, Pemogan",Gofood Delivery,F-3019903605,5,,Paket Berkah 2 Kebuli,
"Oct 30 2025, 18:08","Ayam Guling Enakko Dalung Permai, Jalan Perum Dalung Permai",Gofood Delivery,F-3019879515,5,,"Paket Duo Original, Sambel Korek",
